Event,Name,Team Code,Team Name,Percent
M-800-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,Canada,20.0
M-800-FREESTYLE-LCM,"JAEGER, Connor",USA,United States of America,20.0
M-800-FREESTYLE-LCM,"THORPE, Ian",AUS,Australia,20.0
M-800-FREESTYLE-LCM,"HACKETT, Grant",AUS,Australia,10.0
M-800-FREESTYLE-LCM,"KIS, Gergo",HUN,Hungary,10.0
M-800-FREESTYLE-LCM,"PERKINS, Kieren",AUS,Australia,10.0
M-800-FREESTYLE-LCM,"SUN, Yang",CHN,People's Republic of China,10.0
M-50-FREESTYLE-LCM,"BOUSQUET, Frederick",FRA,France,30.0
M-50-FREESTYLE-LCM,"LEVEAUX, Amaury",FRA,France,30.0
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,Australia,20.0
M-50-FREESTYLE-LCM,"DRAGANJA, Duje",CRO,Croatia,10.0
M-50-FREESTYLE-LCM,"SULLIVAN, Eamon",AUS,Australia,10.0
M-400-MEDLEY-LCM,"LITHERLAND, Jay",USA,United States of America,20.0
M-400-MEDLEY-LCM,"MELLOULI, Ous",TUN,Tunisia,20.0
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,United States of America,10.0
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,10.0
M-400-MEDLEY-LCM,"FRASER-HOLMES, Thomas",AUS,Australia,10.0
M-400-MEDLEY-LCM,"HAGINO, Kosuke",JPN,Japan,10.0
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,Brazil,10.0
M-400-MEDLEY-LCM,"PHELPS, Michael",USA,United States of America,10.0
M-400-FREESTYLE-LCM,"HORTON, Mack",AUS,Australia,20.0
M-400-FREESTYLE-LCM,"THORPE, Ian",AUS,Australia,20.0
M-400-FREESTYLE-LCM,"ZHANG, Lin",CHN,People's Republic of China,20.0
M-400-FREESTYLE-LCM,"HACKETT, Grant",AUS,Australia,10.0
M-400-FREESTYLE-LCM,"JENSEN, Larsen",USA,United States of America,10.0
M-400-FREESTYLE-LCM,"LOBINTSEV, Nikita",RUS,Russian Federation,10.0
M-400-FREESTYLE-LCM,"ROSOLINO, Massimiliano",ITA,Italy,10.0
M-200-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,30.0
M-200-MEDLEY-LCM,"PHELPS, Michael",USA,United States of America,30.0
M-200-MEDLEY-LCM,"LOCHTE, Ryan",USA,United States of America,20.0
M-200-MEDLEY-LCM,"BRODIE, Leith",AUS,Australia,10.0
M-200-MEDLEY-LCM,"SHANTEAU, Eric",USA,United States of America,10.0
M-200-FREESTYLE-LCM,"BERENS, Richard",USA,United States of America,30.0
M-200-FREESTYLE-LCM,"PARK, Taehwan",KOR,Republic of Korea,20.0
M-200-FREESTYLE-LCM,"AGNEL, Yannick",FRA,France,10.0
M-200-FREESTYLE-LCM,"IZOTOV, Danila",RUS,Russian Federation,10.0
M-200-FREESTYLE-LCM,"LOCHTE, Ryan",USA,United States of America,10.0
M-200-FREESTYLE-LCM,"PHELPS, Michael",USA,United States of America,10.0
M-200-FREESTYLE-LCM,"SUN, Yang",CHN,People's Republic of China,10.0
M-200-BUTTERFLY-LCM,"BURMESTER, Moss",NZL,New Zealand,30.0
M-200-BUTTERFLY-LCM,"SWITKOWSKI, Jan",POL,Poland,20.0
M-200-BUTTERFLY-LCM,"KORZENIOWSKI, Pawel",POL,Poland,10.0
M-200-BUTTERFLY-LCM,"LE CLOS, Chad",RSA,South Africa,10.0
M-200-BUTTERFLY-LCM,"MATSUDA, Takeshi",JPN,Japan,10.0
M-200-BUTTERFLY-LCM,"PHELPS, Michael",USA,United States of America,10.0
M-200-BUTTERFLY-LCM,"SAKAI, Masato",JPN,Japan,10.0
M-200-BREASTSTROKE-LCM,"SHANTEAU, Eric",USA,United States of America,60.0
M-200-BREASTSTROKE-LCM,"BALANDIN, Dmitriy",KAZ,Kazakhstan,20.0
M-200-BREASTSTROKE-LCM,"GYURTA, Daniel",HUN,Hungary,10.0
M-200-BREASTSTROKE-LCM,"YAMAGUCHI, Akihiro",JPN,Japan,10.0
M-200-BACKSTROKE-LCM,"MURPHY, Ryan",USA,United States of America,30.0
M-200-BACKSTROKE-LCM,"LOCHTE, Ryan",USA,United States of America,20.0
M-200-BACKSTROKE-LCM,"HAGINO, Kosuke",JPN,Japan,10.0
M-200-BACKSTROKE-LCM,"KAWECKI, Radoslaw",POL,Poland,10.0
M-200-BACKSTROKE-LCM,"LARKIN, Mitchell",AUS,Australia,10.0
M-200-BACKSTROKE-LCM,"RYLOV, Evgeny",RUS,Russian Federation,10.0
M-200-BACKSTROKE-LCM,"WILDEBOER FABER, Aschwin",ESP,Spain,10.0
M-1500-FREESTYLE-LCM,"HORTON, Mack",AUS,Australia,20.0
M-1500-FREESTYLE-LCM,"MELLOULI, Ous",TUN,Tunisia,20.0
M-1500-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,Canada,10.0
M-1500-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,Italy,10.0
M-1500-FREESTYLE-LCM,"JAEGER, Connor",USA,United States of America,10.0
M-1500-FREESTYLE-LCM,"PARK, Taehwan",KOR,Republic of Korea,10.0
M-1500-FREESTYLE-LCM,"SUN, Yang",CHN,People's Republic of China,10.0
M-1500-FREESTYLE-LCM,"ZHANG, Lin",CHN,People's Republic of China,10.0
M-100-FREESTYLE-LCM,"BOUSQUET, Frederick",FRA,France,30.0
M-100-FREESTYLE-LCM,"CIELO FILHO, Cesar",BRA,Brazil,30.0
M-100-FREESTYLE-LCM,"MAGNUSSEN, James",AUS,Australia,20.0
M-100-FREESTYLE-LCM,"NYSTRAND, Stefan",SWE,Sweden,10.0
M-100-FREESTYLE-LCM,"ROBERTS, James",AUS,Australia,10.0
M-100-BUTTERFLY-LCM,"SUBIRATS, Albert",VEN,Venezuela,70.0
M-100-BUTTERFLY-LCM,"PHELPS, Michael",USA,United States of America,30.0
M-100-BREASTSTROKE-LCM,"DALE OEN, Alexander",NOR,Norway,40.0
M-100-BREASTSTROKE-LCM,"BORYSIK, Igor",UKR,Ukraine,20.0
