Event,Name,Team Code,Team Name,Percent
M-800-FREESTYLE-LCM,"ZHANG, Lin",CHN,People's Republic of China,27.800000000000125
M-800-FREESTYLE-LCM,"MELLOULI, Ous",TUN,Tunisia,20.600000000000023
M-800-FREESTYLE-LCM,"HACKETT, Grant",AUS,Australia,8.299999999999986
M-800-FREESTYLE-LCM,"THORPE, Ian",AUS,Australia,7.499999999999989
M-800-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,Italy,6.099999999999994
M-800-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,Canada,5.299999999999997
M-800-FREESTYLE-LCM,"DETTI, Gabriele",ITA,Italy,5.099999999999998
M-800-FREESTYLE-LCM,"SUN, Yang",CHN,People's Republic of China,4.899999999999999
M-800-FREESTYLE-LCM,"KIS, Gergo",HUN,Hungary,2.700000000000001
M-800-FREESTYLE-LCM,"PALTRINIERI, Gregorio",ITA,Italy,1.6000000000000003
M-800-FREESTYLE-LCM,"DAVIES, David",GBR,Great Britain,1.5000000000000002
M-800-FREESTYLE-LCM,"JENSEN, Larsen",USA,United States of America,1.5000000000000002
M-800-FREESTYLE-LCM,"PERKINS, Kieren",AUS,Australia,1.3
M-800-FREESTYLE-LCM,"CHRISTIANSEN, Henrik",NOR,Norway,1.0999999999999999
M-800-FREESTYLE-LCM,"HORTON, Mack",AUS,Australia,0.7999999999999999
M-800-FREESTYLE-LCM,"MC BROOM, Michael",USA,United States of America,0.7999999999999999
M-800-FREESTYLE-LCM,"WOJDAK, Wojciech",POL,Poland,0.7999999999999999
M-800-FREESTYLE-LCM,"JAEGER, Connor",USA,United States of America,0.7
M-800-FREESTYLE-LCM,"PRILUKOV, Yuriy",RUS,Russian Federation,0.6
M-800-FREESTYLE-LCM,"LA TOURETTE, Chad",USA,United States of America,0.5
M-800-FREESTYLE-LCM,"JOENSEN, Pal",FAR,Faroe Islands,0.2
M-800-FREESTYLE-LCM,"MILNE, Stephen",GBR,Great Britain,0.2
M-800-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,United States of America,0.1
M-50-FREESTYLE-LCM,"GODEC, Jernej",SLO,Slovenia,99.69999999999861
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,Australia,0.2
M-50-FREESTYLE-LCM,"BOUSQUET, Frederick",FRA,France,0.1
M-400-MEDLEY-LCM,"PHELPS, Michael",USA,United States of America,33.0000000000002
M-400-MEDLEY-LCM,"LOCHTE, Ryan",USA,United States of America,22.100000000000044
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,10.09999999999998
M-400-MEDLEY-LCM,"HAGINO, Kosuke",JPN,Japan,7.799999999999988
M-400-MEDLEY-LCM,"KALISZ, Chase",USA,United States of America,7.39999999999999
M-400-MEDLEY-LCM,"WANG, Shun",CHN,People's Republic of China,5.599999999999996
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,Brazil,5.4999999999999964
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,United States of America,4.799999999999999
M-400-MEDLEY-LCM,"SETO, Daiya",JPN,Japan,1.5000000000000002
M-400-MEDLEY-LCM,"MARIN, Luca",ITA,Italy,0.9999999999999999
M-400-MEDLEY-LCM,"HORIHATA, Yuya",JPN,Japan,0.4
M-400-MEDLEY-LCM,"MELLOULI, Ous",TUN,Tunisia,0.30000000000000004
M-400-MEDLEY-LCM,"HUANG, Chaosheng",CHN,People's Republic of China,0.2
M-400-MEDLEY-LCM,"KIS, Gergo",HUN,Hungary,0.1
M-400-MEDLEY-LCM,"VERRASZTO, David",HUN,Hungary,0.1
M-400-MEDLEY-LCM,"YANG, Zhixian",CHN,People's Republic of China,0.1
M-400-FREESTYLE-LCM,"THORPE, Ian",AUS,Australia,31.200000000000173
M-400-FREESTYLE-LCM,"BIEDERMANN, Paul",GER,Germany,19.400000000000006
M-400-FREESTYLE-LCM,"ZHANG, Lin",CHN,People's Republic of China,13.199999999999969
M-400-FREESTYLE-LCM,"SUN, Yang",CHN,People's Republic of China,9.699999999999982
M-400-FREESTYLE-LCM,"MELLOULI, Ous",TUN,Tunisia,9.399999999999983
M-400-FREESTYLE-LCM,"HORTON, Mack",AUS,Australia,8.399999999999986
M-400-FREESTYLE-LCM,"PARK, Taehwan",KOR,Republic of Korea,3.1000000000000014
M-400-FREESTYLE-LCM,"JENSEN, Larsen",USA,United States of America,1.8000000000000005
M-400-FREESTYLE-LCM,"HACKETT, Grant",AUS,Australia,0.7999999999999999
M-400-FREESTYLE-LCM,"LOBINTSEV, Nikita",RUS,Russian Federation,0.7999999999999999
M-400-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,United States of America,0.7999999999999999
M-400-FREESTYLE-LCM,"ROSOLINO, Massimiliano",ITA,Italy,0.6
M-400-FREESTYLE-LCM,"PERKINS, Kieren",AUS,Australia,0.4
M-400-FREESTYLE-LCM,"MCKEON, David",AUS,Australia,0.2
M-400-FREESTYLE-LCM,"JAEGER, Connor",USA,United States of America,0.1
M-400-FREESTYLE-LCM,"PRILUKOV, Yuriy",RUS,Russian Federation,0.1
M-200-MEDLEY-LCM,"LOCHTE, Ryan",USA,United States of America,32.9000000000002
M-200-MEDLEY-LCM,"PHELPS, Michael",USA,United States of America,30.600000000000165
M-200-MEDLEY-LCM,"SHANTEAU, Eric",USA,United States of America,20.200000000000017
M-200-MEDLEY-LCM,"HAGINO, Kosuke",JPN,Japan,8.399999999999986
M-200-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,6.999999999999991
M-200-MEDLEY-LCM,"BRODIE, Leith",AUS,Australia,0.4
M-200-MEDLEY-LCM,"PEREIRA, Thiago",BRA,Brazil,0.4
M-200-MEDLEY-LCM,"WANG, Shun",CHN,People's Republic of China,0.1
M-200-FREESTYLE-LCM,"BIEDERMANN, Paul",GER,Germany,36.200000000000244
M-200-FREESTYLE-LCM,"PHELPS, Michael",USA,United States of America,28.20000000000013
M-200-FREESTYLE-LCM,"AGNEL, Yannick",FRA,France,11.399999999999975
M-200-FREESTYLE-LCM,"THORPE, Ian",AUS,Australia,7.19999999999999
M-200-FREESTYLE-LCM,"IZOTOV, Danila",RUS,Russian Federation,6.8999999999999915
M-200-FREESTYLE-LCM,"PARK, Taehwan",KOR,Republic of Korea,3.900000000000002
M-200-FREESTYLE-LCM,"BERENS, Richard",USA,United States of America,3.2000000000000015
M-200-FREESTYLE-LCM,"SUN, Yang",CHN,People's Republic of China,1.5000000000000002
M-200-FREESTYLE-LCM,"LOCHTE, Ryan",USA,United States of America,0.6
M-200-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,United States of America,0.30000000000000004
M-200-FREESTYLE-LCM,"HAGINO, Kosuke",JPN,Japan,0.2
M-200-FREESTYLE-LCM,"LOBINTSEV, Nikita",RUS,Russian Federation,0.2
